Descrição,Código,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Valor Pago,Total Vendas
Amendoim - Sem pele,147,-9,"R$ 1,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 9,00",,,
Bombom Ouro Branco,148,-153,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 306,00",59,"R$ 100,00","R$ 100,00"
Bombom Sonho de Valsa,149,-243,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 486,00",107,"R$ 180,00","R$ 180,00"
Dadinho,150,-32,"R$ 0,25 ","R$ 0,00 ","R$ 0,00 ","-R$ 8,00",,,
Bala Yogurt,153,-4,"R$ 0,15 ","R$ 0,00 ","R$ 0,00 ","-R$ 0,60",,,
Paçoca Dani pequena,156,-28,"R$ 0,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 14,00",,,
Paçoca caseira,157,-467,"R$ 1,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 467,00",124,"R$ 102,10","R$ 102,10"
Tônica,158,-47,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 235,00",,,
Pote 2L - Ninho,159,-193,"R$ 40,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 7.720,00",48,"R$ 1.920,00","R$ 1.920,00"
Isopor unidade (8 bolas),161,-4,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 12,00",,,
Isopor unidade (12 bolas),162,-27,"R$ 4,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 108,00",6,"R$ 24,00","R$ 24,00"
Isopor unidade (18 bolas),163,-33,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 165,00",8,"R$ 40,00","R$ 40,00"
Xclé mini,164,-171,"R$ 1,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 256,50",,,
Açaí PolpaNorte 200g,165,-294,"R$ 12,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 3.675,00",104,"R$ 1.300,00","R$ 1.300,00"
Açaí Frooty 600g,166,-1,"R$ 22,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 22,00",,,
Acréscimo - Creme de Avelã,167,-9,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 27,00",,,
Suco de Açaí,168,-26,"R$ 15,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 390,00",3,"R$ 45,00","R$ 45,00"
Lacta - Laka 20g,169,-11,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 22,00",,,
Lacta - Diamante Negro 20g,170,-10,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 20,00",,,
Acréscimo Salsicha,172,0,"R$ 1,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pacote Balas,173,-35,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 70,00",,,
Adicionais Milk Shake Chantilly,174,-301,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 602,00",1,"R$ 2,00","R$ 2,00"
Chicletes de frutas fini,175,-668,"R$ 0,35 ","R$ 0,00 ","R$ 0,00 ","-R$ 233,80",10,"R$ 3,50","R$ 3,50"
Canudo biscoito,176,-511,"R$ 0,15 ","R$ 0,00 ","R$ 0,00 ","-R$ 76,65",125,"R$ 18,75","R$ 18,75"
Sundae,177,-31,"R$ 20,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 620,00",2,"R$ 37,00","R$ 37,00"
Lays 80gr,178,-4,"R$ 8,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 32,00",,,
Pacotinho De Bala,179,-1,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 2,00",,,
Pacote de balas,180,,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Combo 5 - Segunda a Sexta-feira,181,-589,"R$ 22,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 12.958,00",149,"R$ 3.278,00","R$ 3.278,00"
Churros,182,-4479,"R$ 10,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 44.790,00",1498,"R$ 14.980,00","R$ 14.980,00"
Cobertura 1300g,183,-4,"R$ 18,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 72,00",1,"R$ 18,00","R$ 18,00"
Ruffles 145g,184,-5,"R$ 14,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 70,00",,,
Doritos 92g,185,-1,"R$ 8,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 8,00",,,
Adicional catupiry/cheddar,186,-6,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 12,00",,,
Massa de churros,187,-11,"R$ 6,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 66,00",,,
Café expresso,188,-80,"R$ 6,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 480,00",27,"R$ 144,00","R$ 144,00"
Combo Sábado,189,-1,"R$ 32,90 ","R$ 0,00 ","R$ 0,00 ","-R$ 32,90",,,
Bolo P Nozes,190,-2,"R$ 80,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 160,00",,,
catupiry ou cheddar,191,-53,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 265,00",16,"R$ 65,00","R$ 65,00"
Batata ou Milho,192,-19,"R$ 4,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 76,00",1,"R$ 3,00","R$ 3,00"
"Adicional - Ovomaltine, Leite em pó",193,-84,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 252,00",42,"R$ 126,00","R$ 126,00"
Cebolitos 110g,194,-6,"R$ 10,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 60,00",,,
Black Friday,195,-20,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 60,00",,,
Bolo pequeno - Nozes e Pistache,196,-9,"R$ 90,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 810,00",2,"R$ 170,00","R$ 170,00"
Bolo 2kg - Mousse e Pistache,197,-7,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 840,00",1,"R$ 120,00","R$ 120,00"
Petit Gateau,198,-82,"R$ 20,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 1.640,00",45,"R$ 900,00","R$ 900,00"
Ovinhos de Amendoim 50g,199,-21,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 105,00",13,"R$ 55,50","R$ 55,50"
Suco de laranja,200,-64,"R$ 7,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 448,00",5,"R$ 35,00","R$ 35,00"
Doritos 53g,Doritos 53g,-39,"R$ 5,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 214,50",37,"R$ 192,50","R$ 192,50"
Doritos 53gr,201,,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
doritos 53g,5,-8,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 40,00",,,
Churros Nutella,202,-501,"R$ 12,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 6.012,00",365,"R$ 4.380,00","R$ 4.380,00"
Trento,3,-113,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 339,00",,,
Coca Café 220ml,"2,5",-6,"R$ 2,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 15,00",,,
pavê de Sorvete 300g,15,-834,"R$ 15,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 12.510,00",374,"R$ 5.610,00","R$ 5.610,00"
Picolé Especial feito na hora,311,-11,"R$ 7,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 82,50",5,"R$ 37,50","R$ 37,50"
Banana Split Viagem,500,-1,"R$ 33,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 33,00",,,
Bis,"7,5",-2,"R$ 7,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 15,00",,,
Coca Cola lata,1,-393,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 1.965,00",268,"R$ 1.340,00","R$ 1.340,00"
Doce Batata,11,-43,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 86,00",5,"R$ 10,00","R$ 10,00"
paçoca grande,2,-31,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 62,00",2,"R$ 4,00","R$ 4,00"
Semana da criança - milk P,501,-13,"R$ 10,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 130,00",1,"R$ 10,00","R$ 10,00"
Bala 7 belo,502,-27,"R$ 0,20 ","R$ 0,00 ","R$ 0,00 ","-R$ 5,40",11,"R$ 2,20","R$ 2,20"
Doritos pequeno,503,-1,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 5,00",,,
coca lata 350ml,5,-47,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 235,00",3,"R$ 15,00","R$ 15,00"
Doce Batata Pote,6,-9,"R$ 6,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 54,00",6,"R$ 36,00","R$ 36,00"
Picolé limão suiço c\ chocolate quente,9,,"R$ 10,50 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Milk Shake pequeno 330ml,504,-1378,"R$ 15,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 20.670,00",1253,"R$ 18.795,00","R$ 18.795,00"
Milk Shake Diet P,13,-3,"R$ 13,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 39,00",3,"R$ 39,00","R$ 39,00"
Milk Shake Diet M,23,-1,"R$ 23,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 23,00",,,
Milk Shake Diet G,33,,"R$ 33,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Trident Max,505,-68,"R$ 4,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 306,00",61,"R$ 274,50","R$ 274,50"
só o copo,"1,5",-8,"R$ 1,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 12,00",8,"R$ 12,00","R$ 12,00"
cheetos 40g,"3,5",-41,"R$ 3,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 143,50",41,"R$ 143,50","R$ 143,50"
unidade casquinha pró casção,"0,5",-297,"R$ 0,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 148,50",297,"R$ 148,50","R$ 148,50"
colher grande,"0,2",-23,"R$ 0,20 ","R$ 0,00 ","R$ 0,00 ","-R$ 4,60",23,"R$ 4,60","R$ 4,60"
Açai Copo 300ml,"15,9",-56,"R$ 15,90 ","R$ 0,00 ","R$ 0,00 ","-R$ 890,40",56,"R$ 890,40","R$ 890,40"
Milk Shake Kids,"14,9",-10,"R$ 14,90 ","R$ 0,00 ","R$ 0,00 ","-R$ 149,00",10,"R$ 149,00","R$ 149,00"
Iced churros / Tradicional,506,-148,"R$ 15,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 2.294,00",148,"R$ 2.294,00","R$ 2.294,00"
Iced churros / Nutella,507,-47,"R$ 17,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 822,50",47,"R$ 822,50","R$ 822,50"
Trident 14und.,6,-9,"R$ 6,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 54,00",9,"R$ 54,00","R$ 54,00"
unidade Casquinha sem desconto,508,,"R$ 0,50 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Cascão sem desconto,509,-10,"R$ 1,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 10,00",10,"R$ 10,00","R$ 10,00"
unidade casquinha pró cascão sem desconto,510,,"R$ 0,65 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Café Doçura,512,-10,"R$ 13,90 ","R$ 0,00 ","R$ 0,00 ","-R$ 139,00",10,"R$ 139,00","R$ 139,00"
Entrega,513,-168,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 504,00",168,"R$ 549,00","R$ 549,00"
sundae,10,-25,"R$ 10,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 250,00",25,"R$ 250,00","R$ 250,00"
Isopor 18 bolas (unidade),514,-1,"R$ 5,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 5,00",1,"R$ 5,00","R$ 5,00"
Canudo refrigerante ',515,,"R$ 0,25 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Canudo milkshake,516,-1,"R$ 0,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 0,50",1,"R$ 0,50","R$ 0,50"
Pote 5L - Creme,517,,"R$ 80,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Blue Ice,518,,"R$ 80,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Milho,519,,"R$ 80,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Chiclete,520,,"R$ 80,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Uva,521,,"R$ 80,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Creme Americano,522,,"R$ 100,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Café,523,,"R$ 100,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Ameixa,524,,"R$ 100,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Morango,525,,"R$ 100,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Frutas do Bosque,526,,"R$ 100,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Coco,527,,"R$ 100,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Abacaxi ao Leite,528,,"R$ 100,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Abacaxi ao Vinho,529,,"R$ 100,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Frutas Tropicais,530,,"R$ 100,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Banana,531,,"R$ 100,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Leite Condensado,532,,"R$ 100,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Limão,533,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Maracujá,534,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Mousse de Maracujá,535,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Nozes,536,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Passas ao Rum,537,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Chocomenta,538,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Pistache,539,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Cereja,540,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Ferrero,541,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Ovomaltine,542,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Torta Holandesa,543,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Chocolate,544,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Chandelle,545,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Meio Amargo,546,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Bombom Doçura,547,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - À moda,548,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Flocos,549,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Ninho Trufado,550,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Cereja,551,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Damasco,552,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Paçoca,553,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 5L - Floresta Negra,554,,"R$ 120,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Creme,555,,"R$ 140,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Blue Ice,556,,"R$ 140,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Milho,557,,"R$ 140,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Chiclete,558,,"R$ 140,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Uva,559,,"R$ 140,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Creme Americano,560,,"R$ 160,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Café,561,,"R$ 160,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Ameixa,562,,"R$ 160,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Morango,563,,"R$ 160,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Frutas do Bosque,564,,"R$ 160,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Coco,565,,"R$ 160,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Abacaxi ao Leite,566,,"R$ 160,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Abacaxi ao Vinho,567,,"R$ 160,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Frutas Tropicais,568,,"R$ 160,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Banana,569,,"R$ 160,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Leite Condesado,570,,"R$ 160,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Limão,571,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Maracujá,572,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Mousse de Maracujá,573,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Nozes,574,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Passas ao Rum,575,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Chocomenta,576,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Pistache,577,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Cereja,578,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Ferrero,579,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Ovomaltine,580,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Torta Holandesa,581,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Chocolate,582,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Chandelle,583,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Meio Amargo,584,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Bombom Doçura,585,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - À moda,586,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Flocos,587,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Ninho Trufado,588,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Cereja,589,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Damasco,590,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Paçoca,591,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,
Pote 10L - Floresta Negra,592,,"R$ 200,00 ","R$ 0,00 ","R$ 0,00 ","R$ 0,00 ",,,